Info 0    [21:21:12.688] Starting TS Server
Info 1    [21:21:12.689] Version: 4.1.3
Info 2    [21:21:12.689] Arguments: /usr/local/Cellar/node/15.7.0/bin/node /usr/local/bin/tsserver --logFile /Users/sahil/Documents/code/full-stack-developer-journey/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/n2/d4qjb7m949q3s4dkrr033kfm0000gn/T/b6fdd6d82413da1f089f22c0473f37dd/tscancellation*
Info 3    [21:21:12.689] Platform: darwin NodeVersion: 15 CaseSensitive: false
Info 4    [21:21:12.689] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [21:21:12.701] Search path: /Users/sahil/Documents/code/full-stack-developer-journey/basics
Info 6    [21:21:12.702] For info: /Users/sahil/Documents/code/full-stack-developer-journey/basics/variables.js :: No config files found.
Info 7    [21:21:12.706] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [21:21:13.252] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 545.8557987213135ms
Info 9    [21:21:13.253] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [21:21:13.253] 	Files (19)

Info 11   [21:21:13.253] -----------------------------------------------
Info 12   [21:21:13.642] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 13   [21:21:13.643] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false Elapsed: 0.9229660034179688ms
Info 14   [21:21:15.893] Before ensureProjectForOpenFiles:
Info 15   [21:21:15.894] After ensureProjectForOpenFiles:
Info 16   [21:21:15.894] got projects updated in background, updating diagnostics for /Users/sahil/Documents/code/full-stack-developer-journey/basics/variables.js
Info 17   [21:21:17.642] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 18   [21:21:17.650] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false Elapsed: 7.535073757171631ms
Info 19   [21:21:17.650] Different program with same set of files:: structureIsReused:: 2
Info 20   [21:21:17.653] getCompletionData: Get current token: 0.008717060089111328
Info 21   [21:21:17.653] getCompletionData: Is inside comment: 0.05701112747192383
Info 22   [21:21:17.653] getCompletionData: Get previous token 1: 0.031307220458984375
Info 23   [21:21:17.653] getCompletionsAtPosition: isCompletionListBlocker: 0.2987680435180664
Info 24   [21:21:17.657] getCompletionData: Semantic work: 3.1950716972351074
Info 25   [21:21:17.659] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 1.8128242492675781
Info 26   [21:21:19.319] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 27   [21:21:19.327] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 7.274538040161133ms
Info 28   [21:21:19.327] Different program with same set of files:: structureIsReused:: 2
Info 29   [21:21:19.803] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 30   [21:21:19.807] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false Elapsed: 3.982733726501465ms
Info 31   [21:21:19.807] Different program with same set of files:: structureIsReused:: 2
Info 32   [21:21:22.654] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 33   [21:21:22.660] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false Elapsed: 6.016907691955566ms
Info 34   [21:21:22.660] Different program with same set of files:: structureIsReused:: 2
Info 35   [21:21:24.675] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 36   [21:21:24.679] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 4.186491012573242ms
Info 37   [21:21:24.679] Different program with same set of files:: structureIsReused:: 2
Info 38   [21:21:24.680] getCompletionData: Get current token: 0.010533809661865234
Info 39   [21:21:24.680] getCompletionData: Is inside comment: 0.0067577362060546875
Info 40   [21:21:24.680] getCompletionData: Get previous token 1: 0.11474895477294922
Info 41   [21:21:24.680] getCompletionData: Get previous token 2: 0.09094619750976562
Info 42   [21:21:24.681] getCompletionsAtPosition: isCompletionListBlocker: 0.04139232635498047
Info 43   [21:21:24.686] getSymbolsFromOtherSourceFileExports: Recomputing list
Info 44   [21:21:24.687] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 45   [21:21:24.687] getSymbolsFromOtherSourceFileExports: 0.9881901741027832
Info 46   [21:21:24.688] getCompletionData: Semantic work: 7.333686828613281
Info 47   [21:21:24.708] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 15.743062019348145
Info 48   [21:21:24.719] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 49   [21:21:24.723] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 4.408637046813965ms
Info 50   [21:21:24.723] Different program with same set of files:: structureIsReused:: 2
Info 51   [21:21:24.971] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 52   [21:21:24.975] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false Elapsed: 4.337827682495117ms
Info 53   [21:21:24.975] Different program with same set of files:: structureIsReused:: 2
Info 54   [21:21:24.976] getCompletionData: Get current token: 0.011565208435058594
Info 55   [21:21:24.976] getCompletionData: Is inside comment: 0.006008148193359375
Info 56   [21:21:24.976] getCompletionData: Get previous token 1: 0.03473377227783203
Info 57   [21:21:24.976] getCompletionData: Get previous token 2: 0.0279541015625
Info 58   [21:21:24.976] getCompletionsAtPosition: isCompletionListBlocker: 0.004868984222412109
Info 59   [21:21:24.978] getSymbolsFromOtherSourceFileExports: Using cached list
Info 60   [21:21:24.980] getCompletionData: Semantic work: 4.326467037200928
Info 61   [21:21:24.991] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 8.478638172149658
Info 62   [21:21:25.824] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 63   [21:21:25.827] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false Elapsed: 3.2632970809936523ms
Info 64   [21:21:25.827] Different program with same set of files:: structureIsReused:: 2
Info 65   [21:21:25.828] getCompletionData: Get current token: 0.01737213134765625
Info 66   [21:21:25.828] getCompletionData: Is inside comment: 0.006433963775634766
Info 67   [21:21:25.828] getCompletionData: Get previous token 1: 0.033596038818359375
Info 68   [21:21:25.828] getCompletionData: Get previous token 2: 0.025970935821533203
Info 69   [21:21:25.828] getCompletionsAtPosition: isCompletionListBlocker: 0.003956794738769531
Info 70   [21:21:25.831] getSymbolsFromOtherSourceFileExports: Recomputing list for details entry
Info 71   [21:21:25.832] forEachExternalModuleToImportFrom: filtered out 0 modules by package.json contents
Info 72   [21:21:25.832] getSymbolsFromOtherSourceFileExports: 0.5482721328735352
Info 73   [21:21:25.833] getCompletionData: Semantic work: 4.618339538574219
Info 74   [21:21:27.746] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 75   [21:21:27.749] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false Elapsed: 2.3145341873168945ms
Info 76   [21:21:27.749] Different program with same set of files:: structureIsReused:: 2
